matchday,position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,form,zone,previous_position,movement
36,1,Arsenal FC,35,23,7,5,67,26,41,76,DLLWW,Champions League,1.0,0
36,2,Manchester City FC,35,22,8,5,72,32,40,74,WWWDW,Champions League,2.0,0
36,3,Manchester United FC,36,18,11,7,63,48,15,65,LWWWD,Champions League,3.0,0
36,4,Liverpool FC,36,17,8,11,60,48,12,59,WWWLD,Champions League,4.0,0
36,5,Aston Villa FC,35,17,7,11,48,44,4,58,WDWLL,European chase,5.0,0
36,6,AFC Bournemouth,36,13,16,7,56,52,4,55,WWDWW,European chase,6.0,0
36,7,Brighton & Hove Albion FC,36,14,11,11,52,42,10,53,WDWLW,Top-half race,8.0,1
36,8,Brentford FC,36,14,9,13,52,49,3,51,DDLWL,Top-half race,7.0,-1
36,9,Chelsea FC,36,13,10,13,55,49,6,49,LLLLD,Top-half race,9.0,0
36,10,Everton FC,35,13,9,13,44,44,0,48,WDLLD,Top-half race,10.0,0
36,11,Fulham FC,36,14,6,16,44,50,-6,48,LDWLL,Mid-table,11.0,0
36,12,Sunderland AFC,36,12,12,12,37,46,-9,48,WLLDD,Mid-table,12.0,0
36,13,Newcastle United FC,35,13,6,16,49,51,-2,45,LLLLW,Mid-table,13.0,0
36,14,Leeds United FC,35,10,13,12,47,52,-5,43,DWWDW,Mid-table,14.0,0
36,15,Crystal Palace FC,34,11,10,13,36,42,-6,43,DWDLL,Survival battle,15.0,0
36,16,Nottingham Forest FC,35,11,9,15,44,46,-2,42,WDWWW,Survival battle,16.0,0
36,17,Tottenham Hotspur FC,35,9,10,16,45,54,-9,37,LLDWW,Survival battle,17.0,0
36,18,West Ham United FC,35,9,9,17,42,61,-19,36,LWDWL,Relegation zone,18.0,0
36,19,Burnley FC,35,4,8,23,35,71,-36,20,LLLLL,Relegation zone,19.0,0
36,20,Wolverhampton Wanderers FC,36,3,9,24,25,66,-41,18,LLLDL,Relegation zone,20.0,0
